,unigram_values,bigram_values,trigram_values
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,3.0247672115019726,0.5436752834925227,0.12857942531168604
6,5.706939653518101,1.4359349076682026,0.4771612965383113
7,6.8875403028742666,0.7771470073962014,0.26599206162463834
8,0.0,0.0,0.0
9,7.052132334663729,1.6184669980281732,0.7685499302242152
10,0.0,0.0,0.0
11,4.021146627374527,1.1011582389970949,0.3669785743595904
12,0.0,0.0,0.0
13,24.244083722306176,5.659260287719877,2.0840399929407893
14,46.62941249605017,11.878556453771422,5.0718731546175135
15,4.451505133084692,1.044252532422768,0.5886114706073051
16,5.445357266060668,1.468913902250683,0.866240915917049
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,34.81046808219732,12.554577552097125,4.109896498361044
20,21.409912606351828,7.344037343312149,2.5569421780165027
21,19.77523555976597,7.240981998962414,2.5974530390093866
22,34.49626567910418,11.291439002728685,3.923088611209493
23,8.169342645917096,3.174027660853298,0.9811775736265919
24,6.05701464833699,2.1738188539204826,0.6739084132920056
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,11.350545196688541,2.2145233946599587,1.2582086491073667
29,62.676644472770285,20.00600828813776,7.7647661346285295
30,45.98910930182643,9.703135826532787,6.0827434461552565
31,4.165321010192413,1.1645083026759524,0.9707711620796464
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,22.297512638145303,8.902461260438454,4.833187247979023
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,19.486199452846513,8.001973040187425,2.7731102140292583
48,10.501121174789528,4.227370046745611,1.0695623744821132
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
