,unigram_values,bigram_values,trigram_values
0,59.79847164333513,13.991762132862045,5.064878890767096
1,0.0,0.0,0.0
2,13.015161405511462,2.8014581224359985,1.0207134907067625
3,102.37145961101754,23.479403228531798,8.499310712315152
4,215.27449791601,50.37034367830314,18.233564006761686
5,21.911781106130135,4.952836153225497,1.792877483457382
6,30.67330233333139,7.122435482947923,2.5305641506792536
7,11.84399877595449,2.4939831778021704,0.9027971338585524
8,5.911825669468867,1.3830560187344265,0.49880379240126244
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,16.234089997600957,2.8255378595370915,0.9692259482076693
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.976096355241908,0.15370486608414954,0.028628098535887634
15,2.302607249922548,0.6032375526671184,0.1229038600867733
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,15.740757542227538,1.0630136247851245,0.3076760520864247
19,13.783863291843256,2.668072406949824,0.9744182652975988
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,13.783863291843256,2.668072406949824,0.9744182652975988
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,71.91476415635368,15.410378809458406,5.557279133514274
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,63.09586148055866,13.484944301493172,4.777625074957666
29,4.273292058191157,0.755637379257843,0.18745096243930293
30,8.527107090527968,2.1386423709603855,0.7910595254371563
31,5.831247285918053,1.5552715445929715,0.7959307113892912
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,6.580433642607517,1.2622619334780862,0.4608801200156284
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,40.13703998455766,7.735677693524148,2.8239974651085618
38,14.23870203166454,2.783544185192459,1.0162209093581311
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,28.477404063328937,5.567088370384918,2.03244181871626
43,15.399063081100548,2.9249765726352495,1.0627443021605532
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,14.53207735781508,2.85865030392844,1.043292270501991
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,4.475242737703428,0.7477307233973384,0.1986206032198228
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,6.966886523235842,1.3524868158527739,0.4936032361131953
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,55.73509218588646,10.819894526822177,3.9488258889055534
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,9.040415288078709,2.137929042651676,0.8124869996878666
