,unigram_values,bigram_values,trigram_values
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,68.11562070217533,20.605732074437597,4.288709995588076
3,87.65254789784039,51.93240134098117,6.977394994672211
4,97.05072569450324,54.219693589783105,6.7583985663744475
5,96.15267839332505,74.27800781721353,7.691676419485631
6,61.64693758971297,40.61832104477842,3.774989808829735
7,27.703586406530295,20.45462604546885,2.2969698687454976
8,0.0,0.0,0.0
9,36.495868709459344,27.75793182794857,3.019648700097956
10,90.28770698328402,62.50810095249193,5.892406218109048
11,59.40088852868087,43.15359665649153,4.4197738124642445
12,63.23517391903501,35.66530952371818,4.7115533159244425
13,0.0,0.0,0.0
14,32.71638712863425,20.196492608529304,2.7965545241814285
15,96.51475958066887,50.71538655396213,8.595036321865019
16,99.52237125436092,52.43077447377523,8.497975172682365
17,87.60679395309393,46.660565306197086,7.642822751239481
18,0.0,0.0,0.0
19,18.165039454848813,11.883453449921168,1.7517216514673455
20,0.0,0.0,0.0
21,0.0,0.0,0.0
